method,dataset,depth,param_type,param_value,num_subgroups,num_candidates,pruned_subgroups,auc,max_quality,time_seconds,total_points,original_hull_points,removed_points,new_hull_points,original_auc,new_auc,auc_reduction,original_area,new_area,area_reduction,original_max_quality,new_max_quality,selected_points,avg_distance_to_hull,min_diagonal_distance,max_diagonal_distance,threshold_used
furthest_from_diagonal,mushroom,1,n_points,50.0,,,,,,0.0012974739074707031,220.0,,,3.0,0.9769493974219057,0.9041059978172807,0.07284339960462494,0.4769493974219057,0.40410599781728074,0.07284339960462494,0.9039836567926456,0.6916811987090109,0.0,,0.0,0.0,
furthest_from_diagonal,mushroom,1,n_points,100.0,,,,,,0.0024018287658691406,220.0,,,4.0,0.9769493974219057,0.9044671951281085,0.0724822022937972,0.4769493974219057,0.40446719512810847,0.0724822022937972,0.9039836567926456,0.6916811987090109,0.0,,0.0,0.0,
furthest_from_diagonal,mushroom,2,n_points,10.0,,,,,,0.007943868637084961,4210.0,,,3.0,0.9948733284914769,0.9877775490626347,0.007095779428842208,0.49487332849147686,0.4877775490626346,0.007095779428842264,0.9138563832886044,0.9138563832886044,0.0,,0.0,0.0,
furthest_from_diagonal,mushroom,2,n_points,20.0,,,,,,0.009621858596801758,4210.0,,,3.0,0.9948733284914769,0.9877775490626347,0.007095779428842208,0.49487332849147686,0.4877775490626346,0.007095779428842264,0.9138563832886044,0.9138563832886044,0.0,,0.0,0.0,
furthest_from_diagonal,mushroom,2,n_points,50.0,,,,,,0.010847330093383789,4210.0,,,3.0,0.9948733284914769,0.9877775490626347,0.007095779428842208,0.49487332849147686,0.4877775490626346,0.007095779428842264,0.9138563832886044,0.9138563832886044,0.0,,0.0,0.0,
furthest_from_diagonal,mushroom,2,n_points,100.0,,,,,,0.008171796798706055,4210.0,,,3.0,0.9948733284914769,0.9877775490626347,0.007095779428842208,0.49487332849147686,0.4877775490626346,0.007095779428842264,0.9138563832886044,0.9138563832886044,0.0,,0.0,0.0,
furthest_from_diagonal,mushroom,3,n_points,10.0,,,,,,0.020585298538208008,8010.0,,,1.0,0.9949432376484113,0.957949642103955,0.03699359554445636,0.4949432376484113,0.4579496421039549,0.036993595544456415,0.9158992842079099,0.9158992842079099,0.0,,0.0,0.0,
furthest_from_diagonal,mushroom,3,n_points,20.0,,,,,,0.02076411247253418,8010.0,,,1.0,0.9949432376484113,0.957949642103955,0.03699359554445636,0.4949432376484113,0.4579496421039549,0.036993595544456415,0.9158992842079099,0.9158992842079099,0.0,,0.0,0.0,
furthest_from_diagonal,mushroom,3,n_points,50.0,,,,,,0.018701553344726562,8010.0,,,2.0,0.9949432376484113,0.9775125545194328,0.017430683128978552,0.4949432376484113,0.4775125545194328,0.017430683128978497,0.9158992842079099,0.9158992842079099,0.0,,0.0,0.0,
furthest_from_diagonal,mushroom,3,n_points,100.0,,,,,,0.0173642635345459,8010.0,,,3.0,0.9949432376484113,0.9878474582195691,0.007095779428842208,0.4949432376484113,0.48784745821956904,0.007095779428842264,0.9158992842079099,0.9158992842079099,0.0,,0.0,0.0,
furthest_from_diagonal,mushroom,4,n_points,10.0,,,,,,0.019585847854614258,10161.0,,,1.0,0.9952927834330834,0.957949642103955,0.037343141329128415,0.49529278343308336,0.45794964210395495,0.037343141329128415,0.9169207346675625,0.9158992842079099,0.0,,0.0,0.0,
furthest_from_diagonal,mushroom,4,n_points,20.0,,,,,,0.024824142456054688,10161.0,,,1.0,0.9952927834330834,0.957949642103955,0.037343141329128415,0.49529278343308336,0.45794964210395495,0.037343141329128415,0.9169207346675625,0.9158992842079099,0.0,,0.0,0.0,
furthest_from_diagonal,mushroom,4,n_points,50.0,,,,,,0.020418882369995117,10161.0,,,1.0,0.9952927834330834,0.957949642103955,0.037343141329128415,0.49529278343308336,0.4579496421039549,0.03734314132912847,0.9169207346675625,0.9158992842079099,0.0,,0.0,0.0,
furthest_from_diagonal,mushroom,4,n_points,100.0,,,,,,0.0243833065032959,10161.0,,,3.0,0.9952927834330834,0.9878474582195691,0.0074453252135142645,0.49529278343308336,0.48784745821956904,0.00744532521351432,0.9169207346675625,0.9158992842079099,0.0,,0.0,0.0,
below_hull_percentage,mushroom,1,distance_percentage,0.5,,,,,,0.0016508102416992188,220.0,,,0.0,0.0,0.0,0.0,0.4769493974219057,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
